Column1,road_id,road_name,location,road_query,morning_truck,morning_car,morning_scooter,afternoon_truck,afternoon_car,afternoon_scooter,X,Y
0,EI001,承德路-民權西路,"['民權西路', '承德路三段', '民權西路', '承德路三段']",民權西路 承德路三段,169.83,1967.27,7790.9,122.52,1641.74,4493.74,121.5182325,25.0629867
1,EI002,民權東路~中山北路,"['民權東路一段', '中山北路二段', '民權西路', '中山北路二段']",民權東路一段 中山北路二段,134.47,2164.17,7206.36,110.68,2133.51,4278.81,121.5227006,25.0628986
2,EI003,民權東路~新生北路,"['民權東路', '新生北路', '民權東路', '新生北路']",民權東路 新生北路,124.07,2260.23,5558.7,66.33,1507.44,2420.23,121.5279805,25.0624438
3,EI004,民權東路~建國北路,"['民權東路三段', '建國北路二段', '民權東路二段', '建國北路三段']",民權東路三段 建國北路二段,179.45,4049.16,5107.39,113.24,3402.8,3105.96,121.5372535,25.0623015
4,EI005,民權東路~復興北路,"['民權東路三段', '復興北路', '民權東路三段', '復興北路']",民權東路三段 復興北路,159.32,2680.15,5332.53,117.03,2282.08,3333.89,121.5441389,25.0623145
5,EI006,民權東路~敦化北路,"['民權東路四段', '敦化北路', '民權東路三段', '松山機場']",民權東路四段 敦化北路,297.96,2695.79,4977.25,213.44,1850.5,2844.06,121.5507684,25.0614612
6,EI007,民權東路~光復北路,"['民權東路', '光復北路', '民權東路', '光復北路']",民權東路 光復北路,56.96,2083.96,4242.08,26.23,1077.2,2024.57,121.5656672,25.0633822
7,EI008,民權東路~成功路,"['民權東路六段', '成功路二段', '民權東路六段', '成功路二段']",民權東路六段 成功路二段,175.14,4985.13,2966.73,161.41,3242.87,2771.72,121.5907963,25.0690296
8,EI009,民生西路~環河北路,"['民生西路', '環河北路一段', '大稻埕碼頭', '環河北路一段']",民生西路 環河北路一段,7.01,3513.09,2922.9,59.33,3116.13,1281.54,121.5083011,25.0568767
9,EI010,中山北路~民生東西路,"['民生東路一段', '中山北路二段', '民生西路', '中山北路二段']",民生東路一段 中山北路二段,70.49,2206.29,4105.22,78.07,2312.44,3362.49,121.5229786,25.0579546
10,EI011,民生東路~新生北路,"['民生東路', '新生北路', '民生東路', '新生北路']",民生東路 新生北路,45.29,2088.27,2790.44,13.38,1968.66,1914.96,121.5280228,25.0582028
11,EI012,民生東路~松江路,"['民生東路二段', '松江路', '民生東路二段', '松江路']",民生東路二段 松江路,167.4,2455.25,3189.35,121.59,1651.32,2106.09,121.5332247,25.0578722
12,EI013,建國北路~民生東路,"['民生東路三段', '建國北路二段', '民生東路二段', '建國北路二段']",民生東路三段 建國北路二段,92.8,3396.24,3894.96,82.64,2499.95,2707.41,121.5371571,25.057812
13,EI014,民生東路~復興北路,"['民生東路三段', '復興北路', '民生東路三段', '復興北路']",民生東路三段 復興北路,125.19,3323.22,3744.59,91.25,2499.49,3124.26,121.5440874,25.0576954
14,EI015,民生東路~敦化北路,"['民生東路三段', '敦化北路', '民生東路四段', '敦化北路']",民生東路三段 敦化北路,233.03,2813.63,3480.34,188.1,2364.89,2559.01,121.5490242,25.0576296
15,EI016,民生東路~光復北路,"['民生東路', '光復北路', '民生東路', '光復北路']",民生東路 光復北路,106.17,1739.14,1613.69,63.14,1144.88,1405.98,121.5542406,25.0563169
16,EI017,南京西路~重慶北路~寧夏路,"['南京西路', '重慶北路一段', '南京西路', '重慶北路二段']",南京西路 重慶北路一段,164.25,971.14,2262.61,138.38,784.52,1398.1,121.5144361,25.0540211
17,EI018,南京西路~承德路,"['南京西路', '承德路一段', '南京西路', '承德路二段']",南京西路 承德路一段,133.62,1122.31,3203.07,112.6,941.67,2007.73,121.5177697,25.0531919
18,EI019,南京西路~中山北路,"['南京東路一段', '中山北路一段', '南京西路', '中山北路二段']",南京東路一段 中山北路一段,203.78,1864.76,4548.46,130.83,1780.5,2981.67,121.5225025,25.0521538
19,EI020,南京東路~新生北路,"['南京東路', '新生北路', '南京東路', '新生北路']",南京東路 新生北路,142.06,1687.71,3855.23,78.78,1360.02,1789.2,121.5277235,25.0511352
20,EI021,南京東路~松江路,"['南京東路二段', '松江路', '南京東路二段', '松江路']",南京東路二段 松江路,198.9,2165.22,4196.88,196.28,2002.03,2684.69,121.5330755,25.0519327
21,EI022,南京東路~建國北路,"['南京東路三段', '建國北路一段', '南京東路二段', '建國北路二段']",南京東路三段 建國北路一段,147.79,3639.16,4529.05,132.05,2901.22,2879.73,121.5370216,25.0519296
22,EI023,復興北路 ~南京東路,"['南京東路三段', '復興北路', '南京東路三段', '復興北路']",南京東路三段 復興北路,140.49,3106.7,5835.81,131.31,2488.62,3851.07,121.5439657,25.0519146
23,EI024,南京東路~敦化北路,"['南京東路四段', '敦化北路', '南京東路三段', '敦化北路']",南京東路四段 敦化北路,272.18,3165.5,5055.32,204.3,2604.68,3393.02,121.5489606,25.051827
24,EI025,南京東路~光復北路,"['南京東路五段', '光復北路', '南京東路四段', '光復北路']",南京東路五段 光復北路,194.99,2467.05,3602.96,137.28,1734.23,2507.49,121.5578646,25.0516266
25,EI026,南京東路~基隆路~塔悠路,"['塔悠路', '基隆路一段', '南京東路五段', '塔悠路']",塔悠路 基隆路一段,133.28,2318.47,2822.25,60.76,1192.1,1980.14,121.5704203,25.0508789
26,EI027,忠孝西路~中華路~塔城街,"['忠孝西路一段', '中華路一段', '忠孝西路二段', '塔城街']",忠孝西路一段 中華路一段,316.94,3541.61,4319.45,171.78,2117.74,2492.48,121.5099307,25.0480898
27,EI028,忠孝西路~重慶北路,"['忠孝西路一段', '重慶南路一段', '忠孝西路一段', '重慶北路一段']",忠孝西路一段 重慶南路一段,458.01,3567.78,1829.21,238.01,1840.64,1412.35,121.5132814,25.0471727
28,EI029,忠孝東路-中山北路,"['忠孝東路一段', '中山南路', '忠孝西路一段', '中山北路一段']",忠孝東路一段 中山南路,450.48,3460.55,3291.97,327.48,2906.62,2994.9,121.5195653,25.0455858
29,EI030,忠孝東路~八德路,"['忠孝東路二段', '-', '忠孝東路二段', '八德路一段']",忠孝東路二段 八德路一段,139.87,2706.69,2006.44,86.12,1733.52,1222.36,121.5291044,25.0434298
30,EI031,忠孝東路~新生南路,"['忠孝東路三段', '新生南路一段', '忠孝東路二段', '新生南路一段']",忠孝東路三段 新生南路一段,220.63,3367.07,4257.3,120.7,2234.88,3014.42,121.5329673,25.042279
31,EI032,忠孝東路~建國南路,"['忠孝東路三段', '建國南路一段', '忠孝東路三段', '建國南路一段']",忠孝東路三段 建國南路一段,209.25,4670.6,4676.15,150.99,3053.85,3302.16,121.5367388,25.0418417
